motor.m1,motor.m2,motor.m3,motor.m4
-0.5799915998319967,-0.3909478189563791,-0.4684693693873877,-0.41558831176623534
-0.6439128782575652,-0.4431888637772755,-0.377987559751195,-0.3899077981559631
-1.0,-0.06106122122442448,0.23486469729394588,-0.9049180983619672
-0.9430388607772155,-0.37342746854937103,-0.3535070701414028,-0.5154303086061721
-0.6733134662693254,-0.4713094261885238,-0.5696313926278526,-0.47114942298845974
-0.48626972539450786,-0.5565911318226364,-0.7604352087041741,-0.3821076421528431
-0.3283065661313226,-0.49846996939938804,-0.8933578671573431,-0.46526930538610767
-0.39378787575751517,-0.5592311846236925,-0.8073161463229265,-0.4250685013700274
-0.6034320686413728,-0.5341506830136602,-0.7331146622932458,-0.6153523070461409
-0.8401168023360467,-0.5968319366387328,-0.47186943738874776,-0.5772315446308927
-0.8921578431568631,-0.5318306366127323,-0.41934838696773935,-0.6427128542570851
-0.6494729894597893,-0.7984359687193744,-0.6741934838696774,-0.3639472789455789
-0.508790175803516,-0.6627132542650853,-0.7857557151143023,-0.5287905758115162
-0.7123942478849576,0.631472629452589,-0.7123942478849576,-1.0
-0.5360707214144282,-0.4816696333926679,-1.0,-0.7385547710954219
-1.0,-0.7384347686953738,-0.43930878617572355,-0.5293105862117242
-0.7095541910838217,-0.632832656653133,-0.7713954279085582,-0.6693933878677574
-0.871157423148463,-0.6463529270585412,-0.6459529190583811,-0.6197123942478849
-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0
-0.5845916918338367,-0.5972319446388927,-0.5577111542230845,-0.5367507350147003
-0.5349906998139963,-0.6109122182443649,-0.6078721574431489,-0.5225104502090041
-0.5479509590191805,-0.5848316966339326,-0.5926718534370687,-0.5508310166203324
-0.5530710614212284,-0.6049120982419649,-0.5817916358327166,-0.5365107302146043
-0.5907118142362847,-0.5898317966359328,-0.5435908718174364,-0.5521510430208605
-0.5313906278125562,-0.5559511190223805,-0.5563511270225405,-0.5252305046100922
-0.4859097181943639,-0.5720714414288286,-0.5951919038380767,-0.5157503150063001
-0.4947098941978839,-0.5765515310306206,-0.6007920158403168,-0.49686993739874796
-0.5455109102182043,-0.5489509790195803,-0.5633512670253404,-0.5111102222044441
-0.5148302966059322,-0.5719514390287805,-0.5719514390287805,-0.5101902038040761
-0.5747914958299166,-0.5742314846296925,-0.4939898797975959,-0.5259105182103643
-0.500310006200124,-0.5727914558291165,-0.5651913038260765,-0.5306306126122522
-0.48602972059441185,-0.5945118902378048,-0.5637112742254845,-0.5246704934098683
-0.48278965579311584,-0.5808716174323487,-0.5808716174323487,-0.5243904878097563
-0.43122862457249145,-0.5626712534250685,-0.6078721574431489,-0.5671513430268605
-0.5502710054201084,-0.5868317366347326,-0.4957099141982839,-0.5361107222144443
-0.504190083801676,-0.6002720054401087,-0.5382707654153083,-0.5261905238104763
-0.4414688293765875,-0.6671533430668614,-0.5965919318386368,-0.4637092741854837
-0.49258985179703596,-0.5782715654313086,-0.5772315446308927,-0.5208304166083322
-0.4561091221824436,-0.5589111782235645,-0.5870717414348288,-0.4954699093981879
-0.4879497589951799,-0.5380307606152124,-0.5469109382187644,-0.5246704934098683
-0.43674873497469946,-0.5848316966339326,-0.5766715334306687,-0.499309986199724
-0.46054921098421964,-0.6022320446408929,-0.5688713774275486,-0.4659093181863637
-0.47714954299085977,-0.5592311846236925,-0.5820316406328127,-0.4791495829916599
-0.2419048380967619,-0.3931878637572751,-0.3891877837556751,-0.28718574371487426
-0.22730454609092177,-0.41106822136442733,-0.37634752695053897,-0.2967459349186984
-0.27386547730954625,-0.38266765335306707,-0.38754775095501914,-0.2673853477069541
-0.28086561731234627,-0.35214704294085886,-0.4419088381767635,-0.23654473089461792
-0.3464269285385708,-0.33850677013540276,-0.3709074181483629,-0.25562511250225006
-0.21018420368407364,-0.3671473429468589,-0.5688313766275326,-0.1653033060661213
-0.24926498529970598,-0.30670613412268244,-0.4724694493889878,-0.2830256605132102
-0.3404268085361707,-0.26090521810436207,-0.3982679653593072,-0.3118662373247465
-0.378027560551211,-0.2845056901138022,-0.41378827576551536,-0.23514470289405787
-0.23242464849296984,-0.43394867897357947,-0.4848296965939318,-0.1602632052641053
-0.3955079101582032,-0.2714254285085702,-0.36198723974479485,-0.2825456509130183
-0.31194623892477846,-0.3833876677533551,-0.4041080821616432,-0.21202424048480972
-0.21894437888757778,-0.3667073341466829,-0.5212704254085081,-0.2045440908818177
-0.37642752855057104,-0.35994719894397886,-0.3297865957319146,-0.24530490609812194
-0.3126262525250505,-0.42510850217004337,-0.3628672573451469,-0.10350207004140077
-0.31250625012500255,-0.4119482389647793,-0.28722574451489025,-0.19242384847696958
-0.36146722934458686,-0.3227464549290986,-0.2803456069121383,-0.23954479089581793
-0.22682453649072987,-0.4138682773655473,-0.46402928058561166,-0.09938198763975281
-0.39030780615612315,-0.2153443068861377,-0.3119062381247625,-0.2865457309146183
-0.2958659173183463,-0.21402428048560973,-0.43722874457489147,-0.14978299565991315
-0.22306446128922575,-0.23866477329546587,-0.497789955799116,-0.13738274765495306
-0.42542850857017145,-0.19702394047880956,-0.36550731014620297,-0.10894217884357682
-0.32058641172823454,-0.1958639172783455,-0.3558671173423469,-0.22458449168983374
-0.1489029780595612,-0.19634392687853752,-0.4397087941758835,-0.31194623892477846
-0.24950499009980198,-0.23198463969279381,-0.3854277085541711,-0.2299845996919938
