Training step,QF1 Loss,QF2 Loss,Policy Loss,Q1 Predictions Mean,Q1 Predictions Std,Q1 Predictions Max,Q2 Predictions Min,Q Targets Mean,Q Targets Std,Q Targets Max,Q Targets Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min
37,931.32355,547.0516,934.5769,-920.7424,511.63345,-201.70097,-3329.8142,-924.1407,511.7006,-200.47366,-3295.9539,27.03341,8.783284,49.8797,8.496569,-3.0307117,51.649555,436.7732,-523.06946,-1.2323507,1.2461597,2.0,-3.8687928
38,904.7709,621.01416,925.8418,-932.3692,469.57526,-223.1999,-2490.1997,-914.7549,465.7441,-232.68602,-2558.4229,26.30561,11.122046,52.51059,6.97085,-1.8234243,64.01015,374.17273,-398.05228,-1.2358189,1.233592,2.0,-3.9829082
39,2380.3003,1642.1089,1114.7935,-1110.4628,673.2458,-220.81859,-3572.828,-1122.0676,699.0391,-192.74133,-3688.333,28.037981,12.177825,53.93236,9.735384,-0.44912732,88.401146,457.02457,-494.7284,-1.3647289,1.4450325,2.0,-5.961048
40,1449.822,3370.81,1092.3888,-1057.6583,482.6692,-356.95172,-2448.4158,-1050.4873,481.70862,-350.82886,-2407.393,28.316975,10.919598,49.33538,7.8101645,-4.88717,64.973045,380.55914,-433.18576,-1.1975805,1.3062341,2.0,-3.876758
41,450.71844,618.61084,1016.6932,-1015.70123,445.51062,-439.69186,-2297.9912,-1011.5851,442.93027,-437.80533,-2300.8262,25.21766,9.800842,46.89337,9.049421,-10.046099,67.91181,310.8783,-401.78958,-1.4050409,1.2513767,2.0,-3.9266627
42,1069.1787,910.59515,1105.1084,-1096.154,678.16534,-394.53,-3926.4229,-1104.1837,688.4634,-377.98813,-3791.894,27.040737,7.059448,43.541214,12.11672,-2.3506312,5.006208,14.046911,-17.800041,-1.475548,0.9783372,2.0,-3.5488594
43,1511.7429,619.0565,1006.8871,-992.402,597.9874,-253.9231,-3498.101,-1018.1341,610.1138,-250.38615,-3460.4966,27.311064,8.505546,47.70206,10.313124,-11.397881,91.44078,454.78946,-443.3664,-1.3665537,1.3732569,2.0,-4.326845
44,270825.8,271735.97,1171.4623,-1169.328,1007.25824,-257.96164,-7848.7676,-1097.0862,644.05,-242.70177,-3683.243,27.855164,9.949315,58.116573,10.131519,-15.671222,102.2649,384.58246,-563.03217,-1.3203707,1.8358238,2.0,-16.997215
45,677.71136,636.3668,923.32666,-916.4127,444.7101,-358.36002,-3303.1472,-921.4453,450.7464,-354.16022,-3342.8223,26.126118,7.9196887,47.112595,9.916788,-3.0231037,8.202959,19.480326,-42.166,-1.4138908,1.3652073,2.0,-4.7817507
46,1005.53815,898.2431,1016.9803,-1013.49036,405.89725,-272.70914,-2227.4004,-994.50165,401.1449,-241.63174,-2199.071,25.04057,7.964835,47.39037,12.655666,-2.2178435,5.4501967,14.404278,-19.690805,-1.5664082,1.1261122,2.0,-4.4442225
47,955.26294,1180.5874,1000.85846,-995.88983,465.1769,-300.96,-3170.7449,-1006.5413,470.335,-321.46017,-3167.4204,29.032513,10.176702,50.43379,11.22547,-8.336576,86.77498,355.51273,-642.11615,-1.4004947,1.4934876,2.0,-4.956706
48,2142.2966,1403.817,998.0082,-996.1415,509.69907,-405.2015,-3552.9421,-984.7218,502.49655,-385.4663,-3545.5674,28.952387,9.597385,48.13508,12.546946,-28.99652,179.69316,641.7927,-751.06805,-1.16741,1.6677192,2.0,-5.1044626
