Training step,QF1 Loss,QF2 Loss,Policy Loss,Q1 Predictions Mean,Q1 Predictions Std,Q1 Predictions Max,Q2 Predictions Min,Q Targets Mean,Q Targets Std,Q Targets Max,Q Targets Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min
69,5.5636247e-06,5.589669e-06,-5.4017696,2.7056623,2.3841858e-07,2.7056625,2.705761,2.7055795,0.0023572724,2.7157855,2.7012324,-2.6961067,0.26557565,-2.2943292,-3.87729,-0.0016417901,0.00575827,0.004462946,-0.0087267365,-0.13176319,0.0031650912,-0.1287657,-0.13701077
70,2.255067e-06,2.3551806e-06,-5.4017324,2.7055776,2.3841858e-07,2.7055774,2.7060657,2.705719,0.001494995,2.7089403,2.7023191,-2.696155,0.16630653,-2.3025095,-3.1606448,0.0012784473,0.0023396658,0.0047392994,-0.001835239,-0.13170171,0.0050521935,-0.123540744,-0.13621901
71,2.3364257e-05,2.3611636e-05,-5.445998,2.7098982,2.3841858e-07,2.7098985,2.7099283,2.705763,0.0025024568,2.7146564,2.7009444,-2.7360995,0.21495228,-2.2818544,-3.4338698,-0.003093659,0.0087746885,0.005775771,-0.017415665,-0.13852604,0.0046331626,-0.13191703,-0.14486538
72,6.5285412e-06,6.0153197e-06,-5.4436727,2.7052977,0.0,2.7052977,2.7056892,2.7061489,0.0024091403,2.715753,2.7011733,-2.7383752,0.26883733,-2.2876983,-3.9621418,0.0019491322,0.00793787,0.013932518,-0.0071888533,-0.1358513,0.0044546193,-0.13091159,-0.14308324
73,5.2883124e-06,6.9509188e-06,-5.4435377,2.7074137,0.0,2.7074137,2.708023,2.7063541,0.0020410542,2.714862,2.7013497,-2.736124,0.2652873,-2.3108165,-3.9227183,0.0018197494,0.0059994394,0.009872034,-0.0069988384,-0.13564532,0.004763439,-0.13062078,-0.14322339
74,3.5433868e-06,4.290615e-06,-5.425929,2.7066844,0.0,2.7066844,2.7073262,2.7064233,0.0018641781,2.7101252,2.7024684,-2.7192452,0.19722706,-2.2848563,-3.3823438,0.00019595586,0.010269602,0.012982051,-0.015723636,-0.13557024,0.006792257,-0.12896673,-0.14690551
75,4.7483327e-06,4.6897367e-06,-5.4647336,2.706061,2.3841858e-07,2.7060611,2.7066631,2.706411,0.0021508285,2.7136147,2.7016177,-2.7586727,0.2249769,-2.2265716,-3.4282146,-0.0039155884,0.0045352867,0.0011682548,-0.01106288,-0.13454264,0.00790728,-0.12703621,-0.14714983
76,9.757102e-06,1.1181343e-05,-5.428727,2.7092705,0.0,2.7092705,2.7095246,2.7065954,0.0016131618,2.7105675,2.7032561,-2.7194564,0.22812961,-2.2548594,-3.4449656,-0.00013499148,0.0064630597,0.005800939,-0.011050622,-0.13275066,0.007003028,-0.12491904,-0.14353696
77,3.950994e-06,3.951185e-06,-5.425004,2.706673,0.0,2.706673,2.706689,2.7066748,0.0019877097,2.71179,2.7023742,-2.718331,0.20698029,-2.3509965,-3.3504415,0.00022100809,0.007245547,0.0077135665,-0.009028312,-0.1320847,0.004421625,-0.1274501,-0.13926406
78,3.4833824e-06,3.946362e-06,-5.3897676,2.7061944,2.3841858e-07,2.7061946,2.705841,2.7066727,0.0018041536,2.7109187,2.7017004,-2.6839266,0.16636524,-2.347682,-3.0218525,0.0037007951,0.0021070044,0.0066883625,0.0013973775,-0.1295773,0.005540169,-0.12144212,-0.13658264
79,3.5759867e-06,3.5812127e-06,-5.458744,2.7066026,2.3841858e-07,2.7066028,2.706782,2.706678,0.0018895372,2.7116742,2.7011354,-2.7521412,0.3389239,-2.3140025,-4.65707,-0.001852344,0.002355759,0.0017769787,-0.0047114226,-0.13535279,0.008000164,-0.12311027,-0.14517994
80,1.232853e-05,1.23555e-05,-5.3889647,2.7040062,0.0,2.7040062,2.7040014,2.706832,0.0020841085,2.7170615,2.702707,-2.6849632,0.19663295,-2.22581,-3.1380305,0.006654799,0.0057178456,0.011534255,-0.0029094336,-0.13300192,0.006864828,-0.12389462,-0.1412476
81,1.4473373e-05,6.652746e-06,-5.4016743,2.7037148,2.3841858e-07,2.703715,2.7053645,2.7069106,0.0020645475,2.7128859,2.702555,-2.6979594,0.22229558,-2.2069664,-3.4918694,-0.0020567882,0.00441552,0.003255426,-0.0089588035,-0.12873212,0.004881897,-0.12200438,-0.13502777
82,6.383149e-06,7.617143e-06,-5.438001,2.7084615,2.3841858e-07,2.7084613,2.7088282,2.706963,0.0020344404,2.7108853,2.7020638,-2.7295399,0.22957149,-2.2747066,-3.4953856,0.0026964862,0.009782663,0.012848463,-0.01313439,-0.13077268,0.008417251,-0.116256185,-0.1368551
83,1.6832633e-05,1.2780589e-05,-5.441089,2.7043188,0.0,2.7043188,2.7051148,2.7072618,0.002858523,2.7212903,2.7029233,-2.7367706,0.27309096,-2.3137255,-4.3445535,0.0043750214,0.0072843945,0.014155228,-0.0035021445,-0.12813984,0.0021660887,-0.12484168,-0.13073951
84,9.665904e-06,6.4907886e-06,-5.4148445,2.7046716,2.3841858e-07,2.7046714,2.7054517,2.707096,0.0019460714,2.7129967,2.7030551,-2.7101731,0.15938248,-2.4077573,-3.0049505,0.0025897373,0.0057663466,0.011953037,-0.0026118362,-0.13551408,0.002367553,-0.13291658,-0.13870993
85,2.9977464e-06,2.9994812e-06,-5.4117494,2.7074256,2.3841858e-07,2.7074254,2.7070808,2.7072556,0.0017230598,2.7125857,2.7022314,-2.7046685,0.18057403,-2.2297826,-3.3005276,-0.0016173511,0.0077256463,0.006484711,-0.011082189,-0.12899953,0.0021682184,-0.12534894,-0.13104618
