Training step,QF1 Loss,QF2 Loss,Policy Loss,Q1 Predictions Mean,Q1 Predictions Std,Q1 Predictions Max,Q2 Predictions Min,Q Targets Mean,Q Targets Std,Q Targets Max,Q Targets Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min
29,2.7130545e-06,2.7136477e-06,-5.379736,2.6563323,0.0,2.6563323,2.656333,2.6559181,0.0015941693,2.6589851,2.651751,-2.723404,0.20445172,-2.2649693,-3.2795405,0.00047287077,0.008900434,0.010534706,-0.0133906035,-0.13367616,0.004811194,-0.12557386,-0.13794535
30,2.542177e-05,2.5401863e-05,-5.4519463,2.6735291,2.3841858e-07,2.6735294,2.6735272,2.6688893,0.0019726441,2.673788,2.6652296,-2.7784195,0.2557504,-2.4110157,-4.0317435,0.00035511074,0.004973869,0.008113961,-0.005277077,-0.13120186,0.008144079,-0.124068335,-0.14400543
31,1.1674947e-05,1.16577385e-05,-5.4577103,2.6834784,0.0,2.6834784,2.6834753,2.6807008,0.0019899737,2.6868021,2.6762574,-2.7742352,0.23965643,-2.3468432,-3.589553,-1.2313714e-05,0.0077557364,0.013397172,-0.0049752523,-0.1395257,0.0048134145,-0.13450219,-0.14565347
32,2.2873963e-05,2.2902797e-05,-5.4679375,2.6952899,2.3841858e-07,2.69529,2.6952934,2.6909723,0.0020564005,2.6989803,2.6874743,-2.7726474,0.31243175,-2.3089929,-4.527118,-0.0048439405,0.0071767014,0.0053545753,-0.012837944,-0.14050737,0.00512677,-0.13409638,-0.14799993
33,7.840981e-06,7.829138e-06,-5.3913746,2.698959,2.3841858e-07,2.6989589,2.698962,2.700871,0.002045568,2.7093806,2.696603,-2.6924162,0.2141045,-2.2277105,-3.1862822,0.0050735497,0.0020511253,0.00816724,0.0024745064,-0.13734043,0.0050848136,-0.1315765,-0.14549828
34,8.188047e-06,8.186339e-06,-5.4657803,2.7105997,2.3841858e-07,2.7105994,2.7105987,2.7094052,0.002600344,2.7209268,2.7049444,-2.7551818,0.20223168,-2.2886915,-3.5455794,0.0009868422,0.0069469768,0.009609175,-0.008029414,-0.1333078,0.0028905955,-0.1286808,-0.13610789
35,2.3468567e-06,2.3463936e-06,-5.48679,2.717543,2.3841858e-07,2.7175431,2.7175426,2.717057,0.0014527921,2.721123,2.7132583,-2.7692478,0.25329486,-2.3183677,-3.4639301,-0.002362361,0.0061083017,0.0059110266,-0.010885887,-0.13899805,0.00809861,-0.12860107,-0.15117648
36,4.8409922e-05,4.833579e-05,-5.4942594,2.7309778,2.3841858e-07,2.7309775,2.7309718,2.7244968,0.0025318172,2.736686,2.7197416,-2.7632878,0.2766576,-2.2057345,-3.9563572,-0.0011509527,0.0038020883,0.005187027,-0.004503876,-0.13238187,0.0076415706,-0.1220674,-0.14129399
37,5.497818e-06,5.495237e-06,-5.461386,2.7312799,2.3841858e-07,2.73128,2.7312946,2.7313762,0.0023427752,2.741951,2.7266333,-2.730106,0.1934142,-2.3574836,-3.660686,-0.003198574,0.005547383,0.0012348344,-0.012709698,-0.13217323,0.0043244455,-0.12653758,-0.13809346
38,4.022663e-06,4.013095e-06,-5.44302,2.7371216,0.0,2.7371216,2.7371151,2.736375,0.0018616006,2.7419236,2.7326424,-2.7059045,0.21836688,-2.230276,-3.3827906,0.0073547396,0.0043636668,0.012668252,0.00062191667,-0.13544789,0.0017283483,-0.13345034,-0.13803996
39,1.4881556e-05,1.4880068e-05,-5.488788,2.7381265,2.3841858e-07,2.7381263,2.7381265,2.7412448,0.0022707037,2.7470677,2.7356853,-2.7506614,0.22373618,-2.2592106,-3.4289515,-0.007068838,0.0048440034,-0.0002549351,-0.012523396,-0.13220945,0.0043266932,-0.12758863,-0.1392502
40,6.906891e-06,6.9206244e-06,-5.445544,2.7451491,2.3841858e-07,2.745149,2.7451437,2.7464554,0.0022803373,2.7566645,2.7418008,-2.7003999,0.3093851,-2.3179395,-4.728653,-0.0026833836,0.008120509,0.009750235,-0.010937922,-0.13427341,0.0032170555,-0.13042243,-0.1393403
41,3.53061e-06,3.5309324e-06,-5.508194,2.749888,2.3841858e-07,2.7498882,2.749888,2.750564,0.0017530968,2.7545516,2.7464676,-2.758306,0.17102948,-2.3231058,-3.2166893,0.00025643967,0.007089046,0.007438107,-0.009530472,-0.1349199,0.003692808,-0.13159019,-0.14061266
42,1.0000775e-05,9.982703e-06,-5.5115385,2.7574453,0.0,2.7574453,2.757442,2.754737,0.0016321837,2.759398,2.7512732,-2.7540967,0.2076873,-2.3599494,-3.5882244,-0.0031384176,0.0056757997,0.0029860062,-0.012399758,-0.13408865,0.011206746,-0.12398049,-0.15300415
43,1.3267678e-05,1.3273446e-05,-5.4756246,2.7571888,0.0,2.7571888,2.7571867,2.758532,0.0033858244,2.7737749,2.7533412,-2.7184377,0.22075668,-2.2965415,-3.6546142,-0.00467652,0.004485022,0.0017887253,-0.009657383,-0.1389429,0.005824323,-0.12938859,-0.14394237
44,2.5329664e-05,2.5400295e-05,-5.5307207,2.75663,0.0,2.75663,2.7566223,2.761255,0.0019843972,2.7696114,2.757423,-2.7740982,0.16953845,-2.4552464,-3.2917788,0.004261656,0.0046373797,0.00971052,-0.0025636745,-0.1379404,0.0040743686,-0.13336445,-0.14400047
45,2.1560716e-05,2.1568569e-05,-5.54962,2.7685752,2.3841858e-07,2.768575,2.768576,2.764459,0.0021492206,2.7756248,2.76117,-2.7810452,0.20816226,-2.3962665,-3.727003,-0.0027519884,0.0055549857,0.004605754,-0.009057015,-0.12953882,0.0012745974,-0.12780087,-0.13140163
46,1.4550687e-05,1.4525762e-05,-5.526758,2.7697713,0.0,2.7697713,2.769767,2.7668653,0.0024709164,2.777573,2.7618082,-2.7569911,0.20318283,-2.4521575,-3.3661866,0.0043033054,0.008614913,0.014705901,-0.005533149,-0.13113135,0.003972784,-0.12796348,-0.13791303
47,6.126583e-06,6.1221126e-06,-5.490219,2.7707846,2.3841858e-07,2.7707849,2.770783,2.769612,0.0021797393,2.779994,2.7661457,-2.7194362,0.18806037,-2.2769356,-3.1334326,-0.007228572,0.0018961148,-0.0045523634,-0.009708194,-0.13479576,0.0066068633,-0.12382305,-0.14066346
48,3.2727678e-06,3.2687776e-06,-5.527148,2.771268,0.0,2.771268,2.771264,2.770743,0.0017312457,2.7743335,2.7669072,-2.7558837,0.20241846,-2.227311,-3.255456,-0.0030062846,0.0065796985,0.0052274372,-0.010493701,-0.13054772,0.0041210484,-0.12605588,-0.13727503
49,3.6574365e-06,3.642552e-06,-5.4584684,2.7729936,2.3841858e-07,2.7729938,2.7730553,2.7731454,0.0019064128,2.7835817,2.7696922,-2.6854744,0.17712684,-2.341371,-3.275202,0.0022179643,0.008648762,0.014307503,-0.0093144085,-0.14082456,0.0045750597,-0.13473175,-0.14756182
50,4.0193095e-06,4.015784e-06,-5.53024,2.7744427,0.0,2.7744427,2.7744462,2.7749372,0.0019428357,2.7814684,2.7708638,-2.7557971,0.31189814,-2.3612459,-4.2301226,0.00042268494,0.0109074265,0.017076578,-0.01353688,-0.13851693,0.0041294955,-0.13264365,-0.14262803
51,6.766637e-06,6.5560016e-06,-5.4746428,2.7783089,0.0,2.7783089,2.7782514,2.7764473,0.0018168327,2.7802937,2.7713537,-2.6963913,0.20732494,-2.2373474,-3.076538,-0.0031318064,0.0069460645,0.004632843,-0.014306984,-0.12985197,0.0027607149,-0.12611638,-0.13346379
52,5.5938845e-06,5.6131476e-06,-5.539773,2.7770267,2.3841858e-07,2.7770264,2.7770166,2.7780068,0.002152376,2.7847826,2.7738142,-2.762756,0.2255825,-2.399293,-3.9239464,0.00025672826,0.0043120473,0.0052221254,-0.0063508726,-0.13364545,0.0039168545,-0.12692025,-0.13670526
