,0
172,2.5266813001656453e-05
173,4.6488125954904444e-05
174,4.749196872277723e-05
175,2.036971298557354e-05
176,3.938187133331191e-06
177,5.7828586796493506e-06
178,1.6513085695144807e-05
179,2.7075016616623114e-05
180,2.6886062885879002e-05
181,2.3128507539591155e-05
182,1.213694490495819e-05
183,1.1660043009692789e-05
184,1.3797117934994814e-05
185,2.3312332919542787e-05
186,4.445772403799089e-05
187,6.139526646434435e-05
188,6.262241029535169e-05
189,4.2527539949889367e-05
190,3.320234289716253e-05
191,3.389513847829488e-05
192,4.145432384612087e-05
193,3.271199932260766e-05
194,2.5929759500809563e-05
195,2.7549293570207552e-05
196,3.8448146480372437e-05
197,3.647777011911655e-05
198,3.846210546531766e-05
199,4.243943370356745e-05
200,6.224113819851599e-05
201,7.042314575541539e-05
202,6.847914823754307e-05
203,4.755538311600005e-05
204,3.2814053583913546e-05
205,4.158982988896098e-05
206,6.522955992326213e-05
207,6.44295016316409e-05
208,5.44573013266804e-05
209,4.382792049490344e-05
210,3.555473498433616e-05
211,3.83428850877557e-05
212,5.0200537663105824e-05
213,5.150414704300486e-05
214,3.9923822455555765e-05
215,3.372045238818651e-05
216,3.475738065874935e-05
217,3.539239547519819e-05
218,3.1771211013707556e-05
219,2.19055719078523e-05
220,1.3446802105778725e-05
221,9.437829820152235e-06
222,1.2381653495895597e-05
223,1.3620019407134249e-05
224,1.688205779720499e-05
225,1.9103416068275322e-05
226,1.7774285709864655e-05
227,1.1853846298514403e-05
228,8.803727650580906e-06
229,7.057314837408113e-06
230,5.746903845588773e-06
231,5.775584571624418e-06
232,6.5808529924009554e-06
233,9.662657680125873e-06
234,1.0536918609262122e-05
235,7.340553570159243e-06
236,4.4292317454928115e-06
237,3.3382456385734763e-06
238,6.637466293179484e-06
239,1.1773032732562455e-05
240,1.4754915031974765e-05
241,1.3167031610110565e-05
242,6.651719331985396e-06
243,4.7419257706528595e-06
244,3.5587512482090095e-06
245,8.233351727959885e-06
246,1.2744082940888077e-05
247,1.4793392641705899e-05
248,1.3417759095342925e-05
249,1.2810995335632864e-05
250,1.1523232672286993e-05
251,9.567308802238764e-06
252,8.61376441727534e-06
253,7.103458470050612e-06
254,7.103458470050612e-06
255,7.103458470050612e-06
256,7.103458470050612e-06
257,7.103458470050612e-06
258,7.103458470050612e-06
259,7.103458470050612e-06
260,7.103458470050612e-06
261,7.103458470050612e-06
262,7.103458470050612e-06
263,7.103458470050612e-06
264,7.103458470050612e-06
265,7.103458470050612e-06
266,7.103458470050612e-06
267,7.103458470050612e-06
268,7.103458470050612e-06
269,7.103458470050612e-06
270,7.103458470050612e-06
271,7.103458470050612e-06
272,7.103458470050612e-06
273,7.103458470050612e-06
274,7.103458470050612e-06
275,7.103458470050612e-06
276,7.103458470050612e-06
277,7.103458470050612e-06
278,7.103458470050612e-06
279,7.103458470050612e-06
280,7.103458470050612e-06
281,7.103458470050612e-06
282,7.103458470050612e-06
283,7.103458470050612e-06
284,7.103458470050612e-06
285,7.103458470050612e-06
286,7.103458470050612e-06
287,7.103458470050612e-06
288,7.103458470050612e-06
289,7.103458470050612e-06
290,7.103458470050612e-06
291,7.103458470050612e-06
292,7.103458470050612e-06
293,7.103458470050612e-06
294,7.103458470050612e-06
295,7.103458470050612e-06
296,7.103458470050612e-06
297,7.103458470050612e-06
298,7.103458470050612e-06
299,7.103458470050612e-06
300,7.103458470050612e-06
301,7.103458470050612e-06
302,7.103458470050612e-06
303,7.103458470050612e-06
304,7.103458470050612e-06
305,7.103458470050612e-06
306,7.103458470050612e-06
307,7.103458470050612e-06
308,7.103458470050612e-06
309,7.103458470050612e-06
310,7.103458470050612e-06
311,7.103458470050612e-06
312,7.103458470050612e-06
313,7.103458470050612e-06
314,7.103458470050612e-06
315,7.103458470050612e-06
316,7.103458470050612e-06
317,7.103458470050612e-06
318,7.103458470050612e-06
319,7.103458470050612e-06
320,7.103458470050612e-06
321,7.103458470050612e-06
322,7.103458470050612e-06
323,7.103458470050612e-06
324,7.103458470050612e-06
325,7.103458470050612e-06
326,7.103458470050612e-06
327,7.103458470050612e-06
328,7.103458470050612e-06
329,7.103458470050612e-06
330,7.103458470050612e-06
331,7.103458470050612e-06
332,7.103458470050612e-06
333,7.103458470050612e-06
334,7.103458470050612e-06
335,7.103458470050612e-06
336,7.103458470050612e-06
337,7.103458470050612e-06
338,7.103458470050612e-06
339,7.103458470050612e-06
340,7.103458470050612e-06
341,7.103458470050612e-06
342,7.103458470050612e-06
343,7.103458470050612e-06
344,7.103458470050612e-06
345,7.103458470050612e-06
346,7.103458470050612e-06
347,7.103458470050612e-06
348,7.103458470050612e-06
349,7.103458470050612e-06
350,7.103458470050612e-06
351,7.103458470050612e-06
352,7.103458470050612e-06
353,7.103458470050612e-06
