,0
231,2.8416653367130825e-05
232,4.255636126112825e-05
233,6.822150141297562e-05
234,9.028596994211314e-05
235,8.635696666654358e-05
236,5.198883798125734e-05
237,3.548331978371622e-05
238,3.0241657549622e-05
239,4.80029735595954e-05
240,5.0715031101605915e-05
241,5.403696196186032e-05
242,5.721610157800483e-05
243,4.170465007936237e-05
244,2.3507601675734057e-05
245,1.4914430386082567e-05
246,1.208382556762537e-05
247,2.1611510596391658e-05
248,3.591300705667996e-05
249,6.676311121395268e-05
250,4.414481952283787e-05
251,2.1627205858002812e-05
252,2.093564040029794e-05
253,2.215423937434914e-05
254,2.7601539340081055e-05
255,3.4143144479791996e-05
256,4.241630478077152e-05
257,4.104935027529845e-05
258,3.1703970289668434e-05
259,1.831206029012015e-05
260,1.3925341842895216e-05
261,1.5755204787281494e-05
262,2.133065824719828e-05
263,2.9268149869182346e-05
264,4.169992768646219e-05
265,5.1587950252120595e-05
266,5.284364891947457e-05
267,5.268178401568719e-05
268,6.480327567476369e-05
269,6.983200926986681e-05
270,7.051049847434522e-05
271,4.516564855955892e-05
272,3.4046974965562764e-05
273,3.4116688835472715e-05
274,5.650262307667937e-05
275,7.900955493761671e-05
276,7.90125185672383e-05
277,6.766810984167535e-05
278,6.922577525698835e-05
279,7.633802109387618e-05
280,0.000105127706947165
281,0.00013283088777262238
282,0.0001293055827425282
283,0.00011841179595448237
284,7.506988506999919e-05
285,7.686850977725057e-05
286,9.636541988063507e-05
287,0.00011705661401713463
288,0.00013593335535384235
289,0.00011259392556488667
290,9.12603870232793e-05
291,6.410824063029652e-05
292,6.0692374737177135e-05
293,8.053806434449053e-05
294,0.0001484930588050365
295,0.00016866500237188578
296,0.00016141662336278777
297,0.00010555426774539271
298,7.295271707364469e-05
299,6.359406317615327e-05
300,7.095372429524979e-05
301,9.769799127443906e-05
302,0.0001190061250577026
303,0.0001482245341601168
304,0.00011961125937056969
305,7.038782419365933e-05
306,6.547759421897406e-05
307,7.610241903877426e-05
308,9.722556148418503e-05
309,8.741019575018271e-05
310,8.189840722965829e-05
311,8.438348333831664e-05
312,0.00011665039906068646
313,0.000135798340358862
314,0.0001476180863034393
315,0.00012509798551251175
316,7.796167208427192e-05
317,4.574700138108299e-05
318,4.74764076910664e-05
319,7.055010488484183e-05
320,9.34113088651914e-05
321,0.00010551125927661523
322,9.619152290884799e-05
323,6.671216297842423e-05
324,4.529723874006137e-05
325,5.390028215226277e-05
326,6.544842396556932e-05
